CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,Afghanistan,-2.8,-18.6,0.3,2.9,3.9,3.4,-6.7,6,-3.1,-3.3,3.7,4.5,8,4.7,2.5,4.6,-9.5,-8.6,-8.9,-6.9,-16,-5.6,-30.5,-27.4,41.8,-9.1,-8,-7,-7.5,-8.7,-9.6,57.4,3.1,-2.1,5.7,5.7,12.9,-0.2,14.3,0.4,5.4,7.4,3,-0.2,-4.6,0.8
8,Albania,1.6,1.6,1.7,1.7,1.8,1.8,1.6,2.1,1.8,1.1,3.7,1,-0.8,-3.3,-0.5,3,-3.3,-3.8,7.9,-10.7,-27.9,-6.2,11.3,10,14.6,9.6,-10.9,8.5,12.5,6.7,8.3,4.6,5.8,6,6.2,6.8,7,8.7,4.4,4.5,3,1.6,1,1.7,2.1,3.3
12,Algeria,-12,18.9,1.5,0.9,2.9,3.2,6.3,7,4.3,-2.2,-0.1,3.1,2.2,2.4,0.6,-2.5,-3.5,-3.7,1.6,-1.7,-3.6,-0.5,-4.2,-2.9,1.9,2.3,-0.5,3.5,1.8,2.4,1.7,4.3,5.8,2.9,4.4,0.2,1.8,0.8,-0.1,1.7,0.9,1.3,0.7,1.7,1.7,1.4
20,Andorra,-0.6,2.8,2.7,1,-3.3,-0.2,-0.3,-1.4,-3.1,-1.3,-3.9,-2.9,-2.6,-2.6,-2,-1,1.3,1,0.8,-0.1,-1.4,-2.9,-4.4,-0.4,0.9,3.8,9.1,3.5,3.7,-0.4,1.5,2.4,7.4,3.3,3.8,1.8,-2,-9.9,-4.4,-5.3,-3.9,0,2.4,4.3,2.4,2.2
24,Angola,3.7,-2.2,5.4,0.4,-7.6,-7.8,-2.1,-8.1,-2.8,-0.9,-7.7,-3.5,0.5,2.4,0.3,0.2,4.2,2.9,-2.3,-3.3,-2.1,-8.9,-26.5,-1.9,11.6,10.3,4.4,1.9,-0.7,0,-0.2,10.7,-0.6,7.1,11,7.6,10,7.3,-3,1.1,-0.2,4.7,1.3,0.5,-2.5,-4
660,Anguilla,-3.2,10.7,3.3,-0.8,2.9,1.1,-0.2,7.1,9.4,5,4.5,-0.2,0.8,4.2,11,9.3,5.7,9.8,3.2,19.9,-21.3,24.2,4.1,4.9,-5,-0.1,8.1,7.7,1.3,-1.3,-0.3,-6.4,2.8,11.2,10.5,17.8,11.2,-3,-19.6,-5.9,2.7,-7.5,-1.8,3.9,2.1,0.1
28,Antigua and Barbuda,5.8,5.9,7.1,2.2,-6.5,-9.8,6.4,2.9,10.5,6.8,5.5,1.2,8,8.8,9.2,9.9,10.3,8.8,5.9,2.9,1.2,-0.5,3,4,-6.8,3.8,2.6,2,1.2,4.5,-6.6,-0.4,4.8,4.6,5.2,10.7,8.7,-1.2,-13.1,-8.3,-3.2,2.4,-1.2,4,3,4.3
32,Argentina,2.1,0.4,2,3.6,-2.2,-1.6,4.8,-4.6,5.4,-0.1,-6.9,-4.7,2.5,0.4,-8.4,5.5,1,-3.4,-8.4,-2.7,9,8.8,4.8,4.5,-4.1,4.3,6.9,2.7,-4.5,-1.9,-5.5,-11.9,7.6,7.8,7.7,6.9,7.9,3,-6.9,9,4.9,-2.1,1.3,-3.5,1.6,-3.3
51,Armenia,,,,,,,,,,,,,,,,,,,,,-10.8,-40.7,-6.6,7.9,9.1,7.5,4.5,8.2,3.9,6.6,10.2,15.7,14.6,11.1,14.6,14.1,14.7,7.9,-13.6,2.6,4.7,6.9,2.8,3.2,2.9,-0.1
533,Aruba,8.4,8.4,8.4,8.6,8.9,9.2,9.5,9.6,9.3,8.9,8.2,7.7,7.6,8,8.8,9.8,17.6,20.1,12.2,2.1,3.8,0.3,1,2.3,-2.1,-2.3,5,4.4,-0.8,2.4,-5.1,-5.4,-0.1,6,-0.1,0.3,1.6,0,-11.4,-3.6,3.2,-1.9,3.6,0.3,-1,-0.7
36,Australia,2,1,2.6,0,1.3,2.4,-0.2,2.9,1.9,2.1,2,-3.5,3.1,3.7,2.5,0.9,4,2.2,1.9,-1.8,-0.9,2.8,2.9,2.8,2.8,2.8,3.3,3.9,2.8,0.9,2.8,2,3,1.9,1.5,2.1,1.9,-0.1,0.1,0.6,2,1,1.2,1,1.4,0.6
40,Austria,4.6,5.8,4.5,3.7,-0.5,4.5,5.1,-0.1,5.5,1.8,-0.1,2,3,0,2.4,2.2,1.2,3,3.5,3.8,2.8,1.3,-0.3,1.7,2.1,2,2,3.5,3.5,3.1,1,1.2,0.2,2.2,1.7,3,3.3,1.2,-4.2,1.4,2.2,0.1,-0.6,0,0.4,1.1
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,-2.3,-23.8,-24.2,-20.7,-12.9,0.2,4.9,9.1,6.5,10.2,8.9,8.4,9.1,8.1,26.6,33,24.1,9.4,8.1,3.4,-2.8,0.8,4.5,1.4,-0.5,-3.6
44,Bahamas,-1,-5.7,5.4,-18.4,-16.5,3,6.8,11.7,23.4,4.2,-11.2,4.3,1.3,11.8,2.7,-0.1,1.2,0.6,4.9,-3.3,-5.9,-5.6,-1.6,1.4,2.8,2.9,4.9,6.6,2.1,2.6,0.8,0.7,-3.3,-1.2,1.3,0.5,-0.5,-4.1,-5.8,-0.1,-1,1.6,-1.9,-2.5,-4.2,-1
48,Bahrain,-1.9,6.8,9,3.1,-13.8,22.6,5.8,-2.7,-2.4,-2.3,-10.2,-10.3,5.6,2.1,-18.5,-2.1,-1.6,5.2,-1,1.5,1.7,5.1,10.1,-4.5,-0.6,0.6,-0.5,1.7,2.2,2.5,-2.3,-1.9,0.3,0.4,-0.4,-1.2,0.2,-1.3,-3.6,-0.4,-1,2,4.2,2.7,0.2,-0.6
50,Bangladesh,-7.4,-15.5,1.7,7.7,-6,3.2,0,4.1,1.9,-1.9,0.6,-1.5,2.1,2.6,0.3,1.6,1.4,0.2,-0.1,4,1,1.9,2.3,1.9,2.7,2.4,3.2,3.1,2.8,3.9,3.3,2.5,3.4,4.5,4.4,5.2,5.8,4.8,3.9,4.4,5.2,5.3,4.8,4.8,5.4,6
52,Barbados,3.4,0.7,0.7,-5.3,-2.5,3.8,3,4.4,7.4,4,-2.2,-5.2,0.2,3.3,0.8,4.8,2.3,3.1,3.2,-3.6,-4.2,-7.3,0.9,3.4,1.6,3.6,4.3,3.3,0,1.9,-2.9,0.4,1.7,1.1,3.7,5.3,1.4,0,-4.4,-0.1,0.4,-0.1,-0.4,-0.2,0.6,1.4
112,Belarus,,,,,,,,,,,,,,,,,,,,,-1.5,-9.6,-7.4,-11.4,-10.2,3.1,11.8,8.9,3.9,6.4,5.4,5.7,7.7,12.2,10.1,10.5,9,10.6,0.4,7.9,5.6,1.7,0.9,1.7,-3.8,-2.6
56,Belgium,3.4,4.9,5.8,3.9,-1.6,5.4,0.4,2.6,2.2,4.3,-0.4,0.5,0.2,2.4,1.5,1.7,2.2,4.5,3.2,2.9,1.5,1.1,-1.4,2.8,2.1,1.4,3.6,1.8,3.4,3.4,0.5,1.3,0.3,3,1.4,1.8,2.7,0,-3,2,1.1,-0.4,-0.4,0.7,0.8,0.8
84,Belize,4.5,2.7,-2.3,7.6,-0.8,-2,2.8,6.4,2.1,2.3,-1,-2.9,-4.9,-0.9,-1.8,1.7,8.2,6.3,10.3,9,0.7,4.3,4.6,0.4,1.5,-1.6,-0.1,-0.2,4.8,9.2,1.9,2.2,6.5,2,0.4,2,-1.4,0,-1.8,0.9,-0.2,1.5,-1.5,1.9,0.7,-2.7
204,Benin,-0.1,7.4,2,4.3,-9.1,-1.1,1.7,-3.1,5.2,6.5,2.8,7.7,-7,4.9,4.5,-0.8,-4.3,0,-3.7,5.5,0.8,-0.6,2.2,-1.4,6.6,1.1,2.6,0.9,2.3,2.7,2.2,1.5,0.3,1.3,-1.2,1,3,2,-0.5,-0.7,0.1,1.8,3.9,3.6,2.1,2.1
60,Bermuda,2.3,0.7,0.5,-0.1,2.9,8.1,1.8,1.3,5.9,3.1,-4.2,-0.6,0.2,-2.7,3.5,3.7,3.3,0.6,-0.5,-3.3,-0.4,-3.3,1.8,1,4.9,3.4,4.2,3.5,3,2.6,6.7,-1.9,3,2.1,1.6,4.7,3.6,1.6,-5.5,-2,-3.9,-3.4,-1.3,0.3,1.2,0.4
64,Bhutan,-0.6,-2,-1.7,1.9,-6.4,5.5,4.5,3.8,1.6,2,8.5,-0.3,5.5,3.5,2.7,10.5,26.8,2.6,5,9.9,0.7,4.8,3.7,7.2,7.1,5.5,4,3.5,5,5.7,5.2,7.7,4.7,3.1,4.5,4.4,15.4,2.6,4.6,9.7,6,3.3,0.5,4.2,5.1,6.6
68,Bolivia (Plurinational State of),2.9,5.7,3.5,0.8,5,2.4,2.7,-0.2,-2,-3.5,-1.2,-6.4,-6.5,-2.7,-3,-4.4,0.6,1,1.8,2.6,3.2,-0.3,2.2,2.6,2.6,2.3,2.9,3,-1.5,0.6,-0.2,0.6,0.9,2.3,2.6,3,2.8,4.4,1.7,2.5,3.5,3.5,5.1,3.8,3.3,2.7
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,-7.4,-3.5,1.4,15,24.1,56.8,37.7,16.7,9.3,5.2,2.6,4.9,3.8,6.3,3.9,5.5,6,5.7,-2.6,1.5,1.9,0.3,3.6,2.3,3.9,3.8
72,Botswana,21.8,22.2,17.3,5,4.5,6.5,6.4,7.4,10,8.1,7.7,4.7,8.1,9.9,5.8,4,5,9,29.5,4.1,4.5,0.2,-0.7,1.1,4.5,3.5,5.8,-1.2,7.7,0.3,-1.3,4.6,3.2,1.3,3.1,6.7,6.6,4.5,-9.2,6.7,4.2,2.6,9.3,2.2,-3.5,2.4
76,Brazil,8.6,9.2,11.3,5.6,2.7,7.7,2.5,2.5,4.3,6.7,-6.5,-1.5,-5.1,3.1,5.6,5.3,1.5,-2,1.3,-6.1,-0.7,-2.6,3.1,4.1,2.6,0.5,1.8,-1.5,-1.2,2.8,-0.1,1.3,-0.1,4.3,2,2.8,5,4,-1.1,6.5,3,1,2.1,-0.4,-4.6,-4.4
92,British Virgin Islands,-11.4,-1.5,4.1,8.5,3.5,-1,1.4,6.9,10.3,11.9,-2.2,-1.2,1.7,1.1,-3,-0.9,9.6,6.3,4.3,21.6,22.1,17.8,27.3,24.2,21.5,5.5,8,7.8,7,6.7,2.7,-7.8,-11.7,-1.3,12.3,-4.3,-4.2,-4.3,-4.9,-3,-3.1,-6.6,3.4,-0.6,-1.5,-1.5
96,Brunei Darussalam,5,5.2,4.8,6.8,-3.7,15.5,6.8,3,18.4,-10,-22.3,0.9,-2.3,-2.2,-4.2,-13.9,-2.5,-3.1,-0.7,-1.8,0.2,1.8,-2.5,0.4,1.8,0.3,-3.8,-2.8,0.8,0.7,0.7,1.9,1,-1.2,-1.2,3,-1.1,-3.1,-2.9,1.3,2.3,-0.5,-3.6,-3.9,-1.8,-3.8
100,Bulgaria,6.3,7,7.6,7,8.3,6.1,5.9,5.3,6.3,5.4,4.6,2,3.2,3.2,2.6,4.2,6.2,11.2,-2.9,-8.5,-7.7,-6.3,-0.3,3,4,-8.4,-0.1,4.4,-5.2,5.8,4.7,6.8,6,7.3,8,7.7,8.2,6.8,-2.9,2,2.6,0.7,1.5,1.9,4.3,4.6
854,Burkina Faso,-2.2,20.3,-6.9,3.6,0.5,-2.9,5,9.4,-1.5,-3.6,4.4,-1,-7.2,-4.6,5.8,5.2,-2.8,3.1,-0.5,-3.2,6.2,-2.4,0.7,-1.4,2.9,8,3.4,4.3,3.3,-1,3.6,1.4,4.7,1.5,5.5,2.9,1.3,2.6,-0.1,5.2,3.5,3.3,2.7,1.3,0.9,2.9
108,Burundi,1.8,-7,5.9,-1.6,-1.4,8.4,6.7,2.4,-0.9,-4.3,8.1,-3,0.4,-2.8,8.6,0.8,1,1.9,-1.3,0.9,2.9,-0.3,-8.8,-4.7,-8.4,-9.8,-0.8,3.2,-2.5,-2.8,-0.3,1.6,-4.2,0.9,-2.4,2,0,1.4,0.4,1.7,0.9,1.3,1.8,1.2,-3.3,-1.4
132,Cabo Verde,4.3,2.1,1.8,2.6,-16.9,1.6,-5.7,8.5,1.9,3.7,6.6,0.9,7.3,1.8,6.7,1.2,2.8,4.5,4,-1.3,-0.9,0.4,4.4,4.1,4.7,4.1,5.2,6,9.5,5.1,4.1,3.3,2.9,2.6,5,8.7,7.4,5.5,-2.3,0.4,2.8,-0.1,-0.4,-0.6,-0.2,2.5
116,Cambodia,-6.9,-7.5,-20.5,-6.3,-1.2,1.6,-12.2,3.4,-10.4,-4.6,-0.8,-2.5,0.8,1,1,0.6,18,12.9,-3.2,-2,4,3.3,0.5,4.1,2.6,1.5,2.7,2.3,9.2,6.4,6,4.6,6.7,8.6,11.5,9.1,8.6,5.1,-1.4,4.3,5.4,5.5,5.7,5.3,5.3,5.2
120,Cameroon,0.3,0.3,2.1,0.7,1,-8.1,10.5,18.5,3,8.6,4.1,4.2,5.1,4.7,-0.8,-8.2,-8.5,-6.7,-6,-8.9,-6.5,-5.8,-5.8,-0.6,0.8,1.7,2.6,1.9,1.7,1,1.7,1.6,1.9,4,-0.7,0.7,2.1,0.7,-0.6,0.6,1.3,1.8,2.6,3.1,2.9,1.8
124,Canada,2.4,3.8,5.3,2.2,0.4,3.9,2.2,2.8,2.7,1.1,2.4,-4.2,1.6,4.8,3.5,0.9,2.7,3,0.9,-1.2,-3.4,-0.3,1.5,3.4,1.6,0.6,3.3,2.9,4.2,4.2,0.8,2,0.8,2,2.1,1.5,0.9,-0.2,-4.1,1.9,2,0.7,1.4,1.6,0,0.5
136,Cayman Islands,-1.5,2.2,7.5,3.1,3.2,3.3,3.4,3.8,4.3,5,5.8,6.3,9.6,3.7,-0.7,2.8,3.7,8.1,3.2,7.6,-3.3,-1.4,0.2,0.4,-0.5,-0.8,-0.6,22.9,-2,-3.6,-3.2,-1.5,-0.9,-1.8,3.6,1.7,0.3,-3.1,-9.5,-4.9,-0.7,-0.4,-0.2,1.2,1.3,0.4
140,Central African Republic,-4.9,-3.8,2.6,-4.9,-0.3,2.2,5.6,-1.2,-4.9,-7,-1.4,-1.2,-8.9,4.2,0.7,1.2,-6.9,0,0.3,-3.8,-1.3,-3.9,-3,2.4,2.5,-9.8,3.7,2.2,3.7,-0.2,-1.4,-2.5,-8.8,0.9,0.6,2.9,2.2,1,0.5,2.5,1.4,2.6,-36.8,0.7,4.1,3.4
148,Chad,-0.4,-9,-7.1,11.1,14.7,-3.5,-9.3,-2.3,-23,-7.9,-12.7,3,12.9,2.4,5,2.9,0.5,4.2,-1.4,0,0.5,-0.9,-4.8,2.3,-1.9,-1.3,2.1,3.3,-4,-4.1,7.4,4.4,10,28.8,4.1,-5,13.9,-2,5.6,9.7,2.8,8.8,-9,0.1,1.1,-6.4
152,Chile,6.9,-3,-7.2,-0.7,-14.3,1.9,8.2,6.6,6.7,6.3,4.6,-14.9,-4.3,4.2,0.3,3.9,4.8,5.5,8.7,2,6.2,10.5,5.4,4.1,9,5.9,5.2,1.9,-2,3.2,2.2,1,2.6,5.8,5,5.2,3.8,2.5,-2.5,4.8,5.1,4.4,3.1,1,1.4,0.8
156,China,4.4,1.4,5.4,0.2,6.7,-3.3,5.9,10.1,6.1,6.3,3.6,7.5,9.2,13.4,11.5,7,9.6,9.1,2.3,2.2,7.8,12.8,12.7,11.9,10,9,8.4,7.1,7,7.8,7.7,8.5,9.4,9.5,10.8,12.1,13.6,9.1,8.8,10,8.9,7.3,7.2,6.7,6.4,6.8
344,"China, Hong Kong SAR",5.5,8.9,10.5,0.5,-1.8,12.9,8.2,4.8,8.2,7.3,7,1.2,4.4,8.4,-0.7,9.3,11.5,6.7,0.7,2.4,4.4,5.1,5.1,4.8,1,2.6,3.2,-7.6,0.9,6.3,-0.3,1.1,2.7,8.4,7,6.5,5.9,1.5,-3.1,6.1,4.2,1.1,2.5,2.1,1.7,1.2
446,"China, Macao SAR",6.7,7.8,8.6,9,9.1,8.9,9,8.6,7.4,6.9,5.9,3,5.9,4.1,-3.4,2.3,9.6,3.6,1.2,4.5,0.8,10.6,2.9,2.2,1.2,-2.4,-2.3,-6.5,-4.4,3.4,0.5,6.3,8.9,23.7,5.6,10.8,12.1,1.3,-0.8,22.5,18.9,6.7,8.6,-3.4,-23.2,-2.7
170,Colombia,3.4,5.2,4.3,3.4,0.1,2.4,1.8,6,3,1.7,0,-1.3,-0.7,1.1,0.9,3.6,3.2,2,1.4,2.3,0.1,2.2,3.9,3.4,3.5,0.4,1.8,-0.9,-5.6,1.4,0.2,1.1,2.5,3.9,3.3,5.4,5.6,2.3,0.5,2.8,5.5,3,3.9,3.4,2.1,1.1
174,Comoros,2.2,0.2,5.1,0.6,3.6,-3,0.2,-0.8,5.6,3.8,0.7,3.3,2,1.3,-0.8,-0.9,-1.3,-0.3,-4.5,-2.1,-1.2,5.4,0.1,-7.9,0.8,-4,1.5,-1.5,-0.7,-0.2,-0.2,-0.1,-0.3,-0.5,0.4,0.3,-2,1.3,1.9,1.3,2.4,0.6,7,1,-2.5,-0.1
178,Congo,5.8,1,13.8,-3.8,-3.8,1.7,-10,3,8.1,9.4,17.7,20,2.6,4.2,-3.9,-9.4,-2.5,-1,-1,-1.7,-0.4,-0.1,-3.7,-8.1,1.1,3.4,-5.2,0.7,-5.3,4.6,1,1.8,-1.9,0.6,4.4,2.8,-4.9,2.3,4,5.4,0.5,1.1,0.7,4.2,0.1,-4.4
184,Cook Islands,-11,-11,5.2,2.8,0.9,-4.7,2.8,0.6,7.1,3.9,-3.2,3.1,0.2,14.4,7.9,7.5,-2.2,1.2,3.7,7.1,6.1,4.9,3,3.4,-4.3,0.5,-1.1,0.7,3.7,13.9,3,1.1,1.9,0.2,-2.1,5.1,0.7,-2,2.9,-1.3,2.6,6.2,-0.1,7.2,4.6,4.1
188,Costa Rica,4,5.5,5.1,3,-0.4,2.9,6.1,3.5,2.2,-1.9,-4.8,-9.8,0.1,5.2,-1.9,2.9,2.2,0.9,3.1,1,-0.3,6.5,4.4,1.9,1.6,-1.2,3.1,4.6,1.7,1.8,1.6,1.6,2.7,2.8,2.4,5.7,6.7,3.2,-2.3,3.6,3.1,3.6,1.1,2.5,3.6,3.3
384,C“te d'Ivoire,4.7,-0.5,1.1,-0.5,3.3,6.9,0,5,-2.6,-14.8,-0.9,-4,-7.9,-6.6,0.4,-0.6,-4,-2.5,8,-4.7,-3.4,-4,-3.8,-1.2,3.7,3.5,2.6,2.2,-0.7,-4.3,-2,-3.5,-3.1,-0.6,-0.2,-0.5,-0.3,0.4,1,-0.3,-6.5,7.4,6.6,6,6.4,6.1
191,Croatia,,,,,,,,,,,,,,,,,,,,,-20.8,-11.2,-7.3,6.8,7.8,6.8,7.6,2.8,-0.1,4.4,3.9,5.5,5.7,4.2,4.3,5,5.4,2.3,-7.1,-1.1,0,-1.9,-0.2,0.4,2.9,3.5
192,Cuba,6.7,3,1.7,-0.5,8,4.3,7.7,5.8,0.4,-5.4,19.1,8.5,5,7.4,0.9,-0.7,-3.4,2.6,-0.3,-3.8,-11.4,-12.2,-15.4,0.2,1.9,7.3,2.3,-0.3,5.8,5.5,2.9,1.1,3.5,5.6,11,11.9,7.2,4.1,1.4,2.3,2.6,2.8,2.5,0.8,4.2,-1
531,Cura‡ao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.3,-0.9,-3.4,-2.4,-1.4,-1.7,-2,-2.2,-0.7,-1.8
196,Cyprus,11.6,5.7,1.4,1.4,-16.1,19,15.9,7.2,9.1,4.8,1.8,5.1,4,7.4,3.5,2.6,5.9,7.1,6.5,5.5,-1.9,6.6,-1.7,3.6,7.9,-0.2,1.1,3.9,3.7,4.6,2.5,2.2,1.3,3.1,2.2,2.8,2.6,1.3,-4.4,-1.3,-2.2,-4.5,-5.7,-0.3,2.6,2.9
