CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
422,Lebanon,6.6,9.2,2,0.2,-31.4,-57.4,82.7,-3,9.5,3.3,0.1,-37.2,21.8,43.6,23.9,-6.8,17,-28.1,-42.6,25.3,35.7,1.9,4.1,5.3,4.5,3.9,-3,2.9,-1.8,-1.1,0,-1.4,-1.8,1.5,-0.4,-0.1,8.6,8.6,8.2,4.2,-4.6,-4.1,-4.4,-4,-3.5,-1.6
426,Lesotho,-11.2,16.7,23.5,3.7,-10.3,13.6,14.6,16.6,-13.2,-5.2,-1.5,1.1,-10.7,0.4,7.1,0.1,3.3,8.8,6.3,4.6,2.2,2.4,1.6,1.4,2.9,8.2,6.8,-6,1.9,4.1,3.3,-0.3,3.8,1.5,1.9,3.5,3.9,5.7,1.2,5.4,5.4,4.6,0.8,0.9,4.2,1.5
430,Liberia,2.3,0.9,1.1,0.5,-6.6,1.8,-1.9,2.7,1.6,-9.3,-7.3,-2,-6.7,-3.2,-3.5,-1.6,2.3,4.1,4.4,-50.2,-12.7,-33.9,-32.2,-22.3,-7.1,6.1,91.6,20.4,13.6,21.9,-0.7,1.3,-31.3,0.7,2.5,9.6,32.1,3.7,3.6,3.6,5,8.3,2,2.7,6.7,-3
434,Libya,-9.3,4.5,-2.4,17.1,-0.2,18,4.6,-0.6,4.8,-3.2,-22.3,-1.1,-6.1,-8.4,4.8,-14,-17.1,4.8,4.5,1.2,12.9,-4.9,-5.9,-0.2,-4.1,0.4,3.5,-5,-0.8,0.8,-1.1,-2.8,11.2,2.8,8.6,5.1,3.5,13.1,-1.8,3.5,-61.4,124.5,-52.1,-24.1,-6.6,1
438,Liechtenstein,-0.5,-0.3,-0.2,-0.2,-0.3,2.6,2.6,2.6,2.8,3.1,3.4,-2.7,-0.4,3.3,6.1,3,8.1,4.5,7,-3.7,4.1,-0.4,-0.8,1,0.4,2.9,8.4,5.2,8.8,1.8,-1.9,-2,-2.8,2.2,4.1,8.2,8.6,-3.3,-11.1,6.7,-4.8,0.3,4.1,2.2,-0.3,0.5
440,Lithuania,,,,,,,,,,,,,,,,,,,,,-5.7,-21.1,-15.8,-9.2,3.9,5.8,9,8.2,-0.4,4.6,7.4,7.7,11.5,7.6,8.9,8.7,12.6,4.1,-13.6,3.1,7.6,5.3,4.9,4.8,3.1,3.2
442,Luxembourg,1.9,5.7,7.4,3.3,-7.3,1.8,0.9,3.5,1.9,0.5,-0.8,1,2.9,6,2.5,9.5,3.3,7.6,8.8,4.2,7.4,0.5,2.8,2.4,4.4,0,4.2,4.6,7.1,7,1.6,3,0.8,2.6,1.8,3.4,6.3,-3.4,-6.5,2.5,0.2,-2.7,1.3,3.6,1,1.5
450,Madagascar,1.4,-4,-4.9,-1.6,-1.6,-5.8,-0.5,-5.4,6.7,-2,-11.2,-4.6,-2.1,-1.2,-1.7,-0.9,-1.6,0.5,1.2,0.2,-9,-1.8,-0.9,-3.1,-1.4,-1,0.5,0.7,1.5,1.5,2.8,-15.3,6.5,2.2,1.6,2,3.2,2.5,-6.7,-2.2,-1,-0.3,-1.3,0,0.3,1.4
454,Malawi,11.4,7.2,-0.5,4.4,2.5,3.1,1.1,5,0.2,6.2,-13.1,-1,1.4,0.4,0.1,-3.5,-7,-2.9,-1.2,1,5.5,-8.8,10.5,-12,7.8,7.5,1.1,-1.9,-1.9,-1.4,-7.4,-0.1,2.9,2.6,0.4,1.7,6.3,4.4,5.1,3.7,1.8,-3.5,3.2,3.5,-0.1,0
458,Malaysia,20.1,6.9,9.1,5.8,-1.6,8.8,5,4,6.6,4.8,4.4,3.5,3.7,5.1,-3.7,-1.7,2.3,5.6,6,6,6.6,6.1,7.2,6.5,7.1,7.2,4.6,-9.7,3.6,6.4,-1.7,3.2,3.7,4.7,3.3,3.6,4.4,3,-3.3,5.5,3.4,3.5,2.8,4.2,3.3,2.7
462,Maldives,2,-0.9,-1.9,2.2,-10.9,-2.4,8.1,11.5,7.4,14.8,8,-6.5,12,22.4,9,5.6,5.2,5.2,5.9,12.8,4.6,3.4,3.4,4.1,4.7,5.7,6.4,5.5,4.1,1.7,-6.2,4.6,10.8,3.2,-15.4,22.8,4.9,6.6,-9.7,4.3,5.5,-0.4,4.3,4.5,-0.2,3.8
466,Mali,0.9,4.1,-3.2,-3.3,9.7,11.7,4.5,-3.2,8.4,-6.1,2.2,4,-7.1,-1.3,6.6,14.3,-3.7,-1.1,5.8,0.5,12.2,-4.2,1.8,4.3,33.6,17.1,8.6,3.8,10.2,-2.8,11.4,4.7,9.5,-9.1,6.9,8.9,4.8,6,8.2,7.4,4.5,8,4,4.7,4.5,4.7
470,Malta,2.5,5.8,4,9.8,19.1,16.5,11.6,10.4,9.7,6.2,2.4,1.3,-1.6,0,1.6,3,3.2,7.5,7.3,5.4,5.4,3.8,3.6,4.7,5.4,2.9,4.3,4.2,3.9,6,0,2.4,2.1,0,3.3,1.4,3.5,2.9,-2.9,3,0.9,2,4,7.6,6.5,5.1
584,Marshall Islands,-2.1,-3.6,27.6,10.2,-4,-3.3,-1,2.1,-1.4,-10.7,2,0.3,10.3,-0.9,-10.6,18.7,4.3,3.1,-5.4,-0.5,-2.3,5.2,4.6,4.8,7.3,-11,-5.9,-3.3,-2.7,5.8,5.3,2.7,0.4,0,3,1.4,3.5,-1.8,-1.9,6.2,1.5,3.5,2.1,-1.1,0.5,2.8
478,Mauritania,-2.2,-2.7,-3.7,5.4,7,3.6,-3.2,-10.1,6.9,-2.2,1,-10.3,-0.4,-4.9,0.5,2.9,-0.5,-1.5,0.9,-3.7,0.1,-0.5,5.8,2,-5.2,7.3,-6.9,-0.4,3.4,-3.4,-1,-2.2,3,2.8,5.9,15.5,0,-1.7,-3.8,1.8,1.3,2.9,3.1,2.5,0.2,-1.1
480,Mauritius,2.8,6.4,10.2,6.4,-0.3,20.1,4.8,2.1,1.9,-11.3,4.6,4.3,-0.6,3.9,6,8.9,9.4,6,3.7,6.1,2.9,4.8,3.5,2.8,3.1,3.9,4.7,5.1,1.7,7.3,2.6,1,5.2,3.8,1.3,4.3,5.2,4.9,2.9,4,3.8,3.3,3.2,3.6,3.3,3.5
484,Mexico,0.9,5,5,2.9,2.5,1.3,0.7,5.5,6.5,5.7,6.3,-2.9,-6.4,1.4,0.7,-5.7,-0.1,-0.7,2.2,3,2.2,1.6,0,3,-8,4.9,5.1,3.5,1.2,3.5,-1.7,-1.3,0.2,2.6,0.9,3,0.7,-0.5,-6.8,3.5,2.1,2.2,-0.1,1.4,1.9,1.6
583,Micronesia (FS of),1.2,0.8,33.9,15,-1,-1.6,-0.2,2.4,-1.3,-10.3,6.1,-5.9,-1.4,-6.9,13.2,5.2,-0.4,3.6,-1.4,1.6,3.3,1.4,4.2,-0.7,2.8,-3.8,-6.2,3.3,1.8,5,1.9,0.8,2,-2.6,2.4,0.2,-1.4,-1.7,1.7,2.4,3.5,-2,-4,-2.5,4.5,-0.5
492,Monaco,4.3,3.1,4.6,2.6,-2.4,3,2.3,2.9,2.4,0.3,-0.5,0.8,-0.4,0,0.5,1.6,2.1,4.5,4.1,2.5,0.4,0.8,-1.5,1.4,1.2,0.5,1.4,2.7,2.5,3,1.1,0.3,-0.1,1.6,0.2,3.9,12.1,-1.5,-13.5,0.6,5.9,0.2,9,6.7,4.5,2.7
496,Mongolia,1.6,0.6,5.7,1.2,3.5,1.1,4.9,4.7,1.6,3.7,5.6,5.6,3.2,3.2,2.9,6.4,0.6,2.3,1.7,-4.4,-10.6,-10.5,-3.8,1.5,5.5,1.5,3.1,2.7,2.3,0.2,2,3.7,5.9,9.4,6,7.2,8.8,7.4,-2.8,4.6,15.2,10.2,9.5,5.9,0.6,-0.7
499,Montenegro,,,,,,,,,,,,,,,,,,,,,-10.9,-23.7,-36.7,1.3,14.2,27.7,6.8,4.9,-8.1,14.7,1.2,1.9,2.4,4.2,4,8.3,6.5,6.9,-6,2.5,3,-2.9,3.4,1.7,3.3,2.9
500,Montserrat,2.2,1.5,2.5,3.5,4.3,-1.7,-1.7,7.7,9.6,8.9,4.7,6.1,-4.8,4.6,7.2,4,5,10.6,4.2,7.4,-7.3,-0.6,-2.9,7.5,-4.5,-19.5,-11.1,-2.2,10.9,13.8,9.6,5.3,-1.6,0.8,0.2,-2.1,2.3,4.1,-0.8,-3.2,4.4,2.9,4.3,1.4,-0.1,1.5
504,Morocco,1.9,1.8,1.4,3.4,5.2,8.3,3.6,-0.1,2.3,1.7,-5.1,7,-2.9,1.9,4,5.8,-4.5,8.4,0.6,2,5,-5.7,-2.7,8.6,-8,10.6,-3.5,6.3,-0.7,0.4,6.3,2.2,5.1,3.6,1.8,6.5,1.5,4.7,7.6,2.6,4.8,0.8,3.4,2.5,3.5,2
508,Mozambique,5,2.5,2.1,3.6,-0.6,2.8,-3,-1.7,0.3,1.6,-1.1,-5.9,-14.9,1.5,-9.7,1.2,4.9,4.7,6,-0.4,2.2,-8.5,4.6,2.1,-1.3,23,7.8,9,5.1,-1,9.6,5.7,3.4,4.6,5.5,6.7,4.3,3.8,3.3,3.6,4,4.1,4.1,4.4,3.6,0.9
104,Myanmar,0.8,-1.9,-0.9,0.6,1.7,3.1,2.8,3.8,2.3,5.5,3.9,3.1,2.1,2.7,0.8,-3,-5.8,-12.9,2,1.3,-2,8.3,4.8,6.2,5.6,5.1,4.3,3.6,9.5,12.4,10.1,10.8,12.7,12.5,12.6,12.2,11.3,9.6,9.8,9.4,4.8,6.4,7.5,7,6,4.7
516,Namibia,2.1,-1.1,0.8,4,-0.5,-1,-2.2,0.6,1.6,4.4,-1.1,-2.5,-4.1,-2.9,-2.8,0.8,-0.8,-3.6,-2.4,-1.9,4.4,3.8,-4.5,-1.2,0.8,0.1,1.1,0.3,0.7,1.2,-0.6,3.3,3,11,1.4,5.8,4.1,1.4,-1.1,4.3,3.1,2.8,3.2,3.9,3.6,-1.1
520,Nauru,1,1,1.1,1.3,1.5,-3.9,-3.9,-3.8,-4,-4,-4.1,-4.4,-4.5,-4.6,-4.8,-4.9,-5.1,-5,-5,-5,-20.7,-18,-17.6,-5.2,-9,-12.4,-9.2,-11.7,-6.5,-6.8,-6.9,-10.2,0,-4.5,-12,-19.4,1.1,96.7,-18.1,19.1,12.2,17.1,30.3,33,1.1,9.6
524,Nepal,-3.2,1,-2.5,4.1,-0.7,2.1,0.8,2.1,0.1,-4.5,5.9,1.4,-5.2,7.2,3.8,2.3,-0.5,5.3,1.9,2.1,3.6,1.3,1,5.4,0.9,2.9,3,0.8,2.5,4.2,3.8,-1.5,2.3,3.2,1.8,2.5,2.3,5.1,3.5,3.7,2.3,3.6,2.9,4.7,2.1,-0.7
528,Netherlands,3.2,1.4,4.7,3.2,-0.8,4,1.2,1.7,1.4,2.7,-1.3,-1.7,1.6,2.5,2,2.2,1.3,2.8,3.8,3.5,1.8,1,0.6,2.3,2.5,2.9,3.7,3.9,4.5,3.6,1.5,-0.5,-0.3,1.5,1.7,3.1,3.3,1.3,-4.1,1.1,1.3,-1.4,-0.5,1.1,2,1.9
540,New Caledonia,2.6,-1.2,-15.2,8,2.7,-0.7,-0.5,7.6,-15.1,-2,-8.4,0.9,-3.4,0.4,3,-2.5,4.1,32.4,9,1.6,2.7,-1.8,-1.8,0.1,3.5,-1.9,-0.3,-5.3,2.2,0.4,0,0.6,3,2.1,1.9,4,2.6,-0.9,0.8,5.4,2.9,0.1,0.5,2,2.3,1.6
554,New Zealand,1.9,3,5.6,4.2,-3,0.1,-4.4,0.1,2,0.9,4.1,0.2,2.6,3.9,0.8,2,-4.9,1.3,-0.3,-0.4,-3,-0.4,4.7,3.5,3.1,2.2,2,0.2,4.2,1.2,2.6,3.6,3,1.8,2,1.4,2.6,-2.6,0.9,-0.1,1.6,1.4,0.8,2,2.4,2
558,Nicaragua,1.8,0.1,1.9,9.3,-0.9,1.9,3.1,-9.9,-28.6,1.6,2.4,-3.5,1.9,-4,-6.4,-3.3,-2.9,-14.3,-3.8,-2.2,-2.4,-1.8,-2.5,1.2,3.8,4.3,2.1,1.9,5.3,2.5,1.5,-0.6,1.2,3.9,2.9,2.8,3.7,2.1,-4.5,3.1,5,5.2,3.7,3.6,3.7,3.5
562,Niger,2.8,-7.8,-19.3,5.8,-5.5,-2.2,4.7,10.2,4.1,-5,-2.2,-1.3,-7.5,-19.2,4.7,-4.6,-4.2,3.1,-3.6,-3.8,-2.8,-3,-2.4,-0.8,-0.3,1.4,-3.1,8.7,-2.6,-6.1,3.7,1.5,-0.3,-4.4,3.5,1.9,-0.6,5.6,-4.4,4.3,-1.6,7.6,1.3,3.5,0,1.1
566,Nigeria,11.6,4.7,3.6,8,-2,4.1,5.1,-5.8,-5.6,-0.7,-3.6,-4.2,-9,-3.8,8.5,-0.7,-3.3,4.8,4.4,8.5,-2.5,0.1,-1,-1.7,-0.4,1.6,0.4,0.3,-2,2.7,1.8,18.3,7.5,7.7,3.8,3.3,3.7,3.5,4.1,5,2.1,1.5,2.6,3.5,0,-4.2
578,Norway,4.9,4.6,3.8,3.3,4.4,5.3,3.7,3.5,4,4.2,1.3,-0.1,3.6,5.7,5.2,3.6,1.3,-0.7,0.6,1.4,2.5,3,2.3,4.5,3.5,4.4,4.6,2,1.4,2.6,1.5,0.9,0.4,3.3,1.9,1.5,2,-0.6,-2.8,-0.5,-0.3,1.4,-0.3,0.7,0.8,0
512,Oman,-2.4,5.4,-17.3,22.9,22.7,10.3,11.6,11.4,-1.4,0.3,11,5.6,7,8.3,9.4,-2,-7.5,1.6,-0.7,4.1,1.5,3.6,1.6,0.2,2.2,1.4,5.6,2.6,-0.7,4,4.3,-2.8,-4.7,-1.2,-0.2,2.4,1.3,4.4,1.6,-0.7,-7.1,2.2,-2.6,-3.9,-0.4,-2.2
586,Pakistan,-1.2,-1.3,3.6,2.4,0.3,1.5,0.7,4.7,1.5,5.2,3.4,3,3.2,1.6,4.1,2.1,3.1,4.3,1.8,1.5,2.2,4.8,-0.9,1.1,2.3,2.3,-1.4,0.1,1.2,1.9,-0.2,1,2.7,5.2,5.5,4,2.7,-0.4,0.7,-0.5,0.6,1.3,2.2,2.5,2.6,3.6
585,Palau,-1.4,-1.3,-1.4,-1.1,-0.6,-0.1,1.9,0.1,-0.1,-0.9,-1.9,-2.5,-0.8,1.8,2.9,3.3,3.5,3.6,3.5,3.1,2.3,-0.3,-14.7,4.3,7.2,7.8,1.7,-0.1,-5.4,-2.7,0.9,3.9,-0.5,0.3,-0.3,-3.2,-0.6,-6.3,-9.7,2.4,4.4,3.1,-2.8,4.6,10.4,0.9
591,Panama,6.5,1.7,2.5,-0.3,-1.1,-1,-1.4,7.1,1.9,12.5,6.4,1.5,-3.8,-0.1,2.8,2.2,0.8,-12,-0.6,5.8,7.2,6,3.3,0.8,-0.3,0.7,4.3,5.2,1.9,0.7,-1.4,0.3,2.3,5.5,5.2,6.6,10.1,6.7,-0.2,3.9,9.9,7.3,4.8,4.3,4,3.2
598,Papua New Guinea,1.3,3,-0.4,-0.5,-3,-5.6,-7.2,5.6,-1,-5,-3,-2,0.6,-3.7,0.8,2.9,0.2,0.3,-3.9,-5.4,6.8,11,15.3,3.3,-5.8,3.9,-8.8,2,-0.8,-4.9,-2.6,-0.5,1.8,-1.9,1.4,-0.2,4.8,-1.6,3.6,8.7,1.2,1.7,1.4,5.1,4.4,0.4
600,Paraguay,3.1,4.2,5,5.9,4.6,4.6,8.1,8.5,8.4,8.4,5.7,-3.8,-5.8,0.1,1,-2.8,1.4,3.5,3,0.4,-0.1,-0.7,1.6,0.7,3,-1.8,0.7,-1.6,-3.5,-5.3,0.1,12.9,2.5,2.3,0.5,3.3,3.9,4.9,-5.2,11.6,3,-2.6,12.5,3.3,1.6,2.6
604,Peru,1.8,0.8,3.5,6.5,1.6,-1.2,-2.3,-5.2,1.4,3.3,3,-2.6,-12.5,1.2,-0.3,7,7.3,-11.4,-14.2,-7,0.1,-2.5,3.2,10.2,5.5,1.1,4.8,-1.9,0.1,1.3,-0.7,4.1,2.9,3.7,5,6.2,7.2,7.8,-0.2,7,4.9,4.7,4.4,1,1.9,2.6
608,Philippines,2.4,2.5,5.8,0.7,2.6,5.8,2.7,2.3,2.8,2.3,0.6,0.8,-0.9,-9.8,-9.8,0.7,1.6,4,3.5,0.4,-3,-2.1,-0.3,2,2.3,3.5,2.9,-2.7,0.9,2.2,0.7,1.5,2.8,4.6,2.8,3.4,4.8,2.5,-0.5,5.9,2,4.9,5.3,4.4,4.4,5.3
616,Poland,6.6,3.9,3.4,6.2,5.1,7,6.1,4.4,2.9,-6.9,-10.8,-5.7,4.6,4.8,2.9,3.6,1.5,3.7,-0.2,-11.8,-7.3,2.2,3.5,5.1,6.8,5.9,6.4,4.6,4.6,4.6,1.3,2.1,3.7,5.3,3.6,6.2,7.1,4.3,2.8,3.6,5,1.6,1.4,3.3,3.9,3
620,Portugal,6,6.9,9.7,-0.3,-5.7,5.4,4.2,1.5,4.5,3.6,0.9,1.6,-0.5,-2.1,2.7,4.2,6.5,7.6,6.5,3.9,4.1,0.7,-2.5,0.5,3.8,3.1,4,4.4,3.5,3.4,1.5,0.3,-1.3,1.4,0.4,1.2,2.2,0,-3.1,2,-1.6,-3.6,-0.6,1.4,2.3,2
630,Puerto Rico,5,5.8,4.3,-1.6,-4.2,3.5,4.7,4.8,4.4,0,-0.3,-4.2,-0.6,6.3,1.1,7.2,4,5.6,4.1,2.9,1.3,3.5,3.6,3.2,3.6,1.5,4.1,4.9,4.9,3,6.2,1,0.3,3.3,-1.7,-1.1,-0.9,-1.6,-1.7,-0.2,-0.1,0.3,-0.1,-1,-0.9,-2.5
634,Qatar,0.9,1.6,1.7,-2,-1,2.5,-11.7,3.4,-1.5,-9.2,-9,-16.7,-12,-5.1,-9.9,-1.8,-5.7,0.8,2.1,0.3,-3.9,9.5,-2.5,0.3,1.1,2.6,27,8,0.8,3.9,-0.2,2.4,-2.7,8.2,-5.7,8,0.2,0.7,-2.2,4.3,3,-3.1,-2.1,-1.4,-0.9,-1.3
410,Republic of Korea,8.3,5.1,12.7,7.5,6,11.3,10.6,9.2,7.1,-3.1,5.6,6.7,11.6,8.9,6.4,10,11.3,10.8,6,8.7,9.2,5,5.7,8,8.4,6.5,4.9,-6.3,10.4,8.1,3.8,6.8,2.4,4.4,3.5,4.8,5.1,2.5,0.4,6.1,3.3,1.9,2.5,2.9,2.4,2.4
498,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,-17.7,-29.1,-1,-30.7,-1,-5.3,2.4,-5.8,-2.7,2.7,6.5,8,6.8,7.5,7.7,5.1,3.4,8.3,-5.6,7.4,7,-0.6,9.4,4.8,-0.3,4.4
642,Romania,11.7,9.4,9.2,11.2,9.2,10,7.4,6.3,5.5,3.5,-0.5,3.5,5.6,5.6,-0.5,1.9,0.4,-0.9,-6,-5.7,-12.8,-8.5,2,4.6,7.8,4.6,-4.1,-1.3,0.4,3.1,6.3,5.8,6.1,9.1,5,9,7.9,9.6,-6.2,0.1,1.8,1.2,4.1,3.6,4.4,5.3
643,Russian Federation,,,,,,,,,,,,,,,,,,,,,-5.3,-14.7,-8.8,-12.7,-4,-3.5,1.6,-5.1,6.7,10.4,5.5,5.2,7.7,7.6,6.7,8.4,8.7,5.3,-7.8,4.5,4.2,3.4,1.2,0.6,-2.9,-0.3
646,Rwanda,-1.8,-2.6,0.4,-2.2,-5.1,15.8,1.8,6.3,5.8,5.3,2,-1.4,2.5,-7.6,0.3,-0.2,-4.7,-3.5,-3.2,4,-1.1,12.2,-2.8,-46.3,35.3,11.4,7.2,0.9,-1,2.5,4.6,10.4,0.5,5.8,7.3,6.7,4.9,8.2,3.4,4.5,5.1,6.1,2.1,5,6.2,3.4
659,Saint Kitts and Nevis,7.3,5.2,4,5.5,2.7,6.4,6.7,5,8.1,8.9,1.7,1,1.8,9.3,9.3,11.4,7.2,10.3,6.2,4.9,-2.6,3.4,5.8,4,4.5,4.7,5.7,-1.7,2.2,9.4,4.1,1.2,-5,2.2,7.3,0.6,-1.4,5.1,-4.1,-3.3,1.3,-1.7,5.1,4.8,2.9,1.2
